"POBLACION DEL COMERCIO","NOMBRE DEL COMERCIO","Zona","Tipo"
"GUADALAJARA","COPPEL",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","MEGA",4,4
"MEXICO DF","VUELA MEXICO",4,4
"GUADALAJARA","MEGA",4,4
"GUADALAJARA","WALMART",3,3
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN ","TAKASAMI",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","EL VOLCAN",4,4
"GUADALAJARA","CKLASS COLECCION 1",4,4
"GUADALAJARA","GIGANTE",2,2
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","ALBARRAN 8 DE JULIO",4,4
"GUADALAJARA","GUADALAJAR CONTRY CLUB",4,4
"GUADALAJARA","EL ZAPATO AGIL IGP",4,4
"GUADALAJARA","EL ZAPATO AGIL IGP",4,4
"TONALA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"MEXICO DF","MDO LIBRE SEIS VT",4,4
"ZAPOPAN","GIGANTE",2,2
"GUADALAJARA","WALMART",3,3
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"MEXICO DF","READER S DIGEST 1 VT",4,4
"ZAPOPAN ","DAOSA",4,4
"ZAPOPAN ","MERIK",4,4
"ZAPOPAN ","PSE6602015CA GAS",4,4
"CHAPALA ","FARM GUADALAJARA",4,4
"SN P GARZA GA","AXTEL",4,4
"ZAPOPAN ","SUBURBIA",4,4
"GUADALAJARA","GIGANTE",2,2
"TONALA ","FARM GUADALAJARA",4,4
"GUADALAJARA","7 CHEDRAUI",4,4
"MEXICO DF","SAMS",4,4
"ZAPOPAN","GIGANTE",2,2
"GUADALAJARA","WALMART",3,3
"GUADALAJARA","WALMART",3,3
"ZAPOPAN ","TELCEL",4,4
"IRAPUATO","WALMART",3,3
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","VIPS",4,4
"GUADALAJARA","GRA0500121TU5 GAS",4,4
"ZAPOPAN ","COMERCIALIZADORA E Y F",4,4
"SN P GARZA GA","AXTEL",4,4
"TLAQUEPAQUE","ESC0312158X6 GAS",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"GUADALAJARA","EL GORDO STEAK",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","HOME DEPOT",4,4
"VILLA CORREG","SEGUROS MONTERREY",4,4
"GUADALAJARA","TELCEL",4,4
"SN P GARZA GA","AXTEL",4,4
"GUADALAJARA","KARNE GARIBALDI",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"TLAJOMULCO D","REDUCE GUADALAJARA",4,4
"GUADALAJARA","7 CHEDRAUI",4,4
"ZAPOPAN","HOME DEPOT",4,4
"ZAPOPAN ","CABLEVISION",4,4
"MEXICO DF","SEG BANCOMER VIDA SEG",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","LA MARTINA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","CAS000831GQ5 GAS",4,4
"ZAPOPAN ","HOME DEPOT",4,4
"ZAPOPAN ","MARISCO GAXIOLA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","SLM701208JZ6 GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","MARISCOS PUERTO DE VER",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN","COMERCIAL MEXICANA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","TELCEL",4,4
"MEXICO DF","TELMEX",4,4
"TIJUANA BCN","AVOLAR AEROLINEAS",4,4
"TIJUANA BCN","AVOLAR AEROLINEAS",4,4
"GUADALAJARA","JOY",4,4
"GUADALAJARA","SWATCH DE GUADALAJARA",4,4
"GUADALAJARA","BENAVIDES",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"ZAPOPAN ","SALON HERENDIRA",4,4
"GUADALAJARA","MUNDO TERRA",4,4
"ZAPOPAN","COMERCIAL MEXICANA",4,4
"GUADALAJARA","REFACC MARIO GARCIA 01",4,4
"GUADALAJARA","EUROVISION",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","MANOLO CANTINA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"TONALA","CINEMEX GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"MEXICO DF","SEGU BBVA RESEG CANCER",4,4
"MEXICO DF","SEGU BBVA RESEG CANCER",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","JOM METODOS GUA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"ZAPOPAN","PETER PIPER PIZZA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"TONALA ","WALMART",3,3
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN","GIGANTE",2,2
"ZAPOPAN ","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","WALMART",3,3
"GUADALAJARA","SAMS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","GIGANTE",2,2
"GUADALAJARA","GIGANTE",2,2
"ZAPOPAN ","BENAVIDES",4,4
"ZAPOPAN ","MCA0204155U3 GAS",4,4
"GUADALAJARA","TUR050706DA1 GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","INST CIENCIAS COMPU",4,4
"GUADALAJARA","SUPREMA JAVIER MINA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","VEGL700905SJ0 GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","MEGA",4,4
"MEXICO DF","MAS TV SENAL CAB",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"TLAQUEPAQUE","BODEGA AURRERA",4,4
"TLAQUEPAQUE","BODEGA AURRERA",4,4
"MORELIA","CINEPOLIS",4,4
"MORELIA","CINEPOLIS",4,4
"GUADALAJARA","TELCEL",4,4
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"GUADALAJARA","FABRICAS DE FRANCIA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","TELCEL",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","LUMEN SUC PEDRO MORENO",4,4
"GUADALAJARA","WALMART",3,3
"ZAPOPAN ","DEPORTES GUERRA",4,4
"GUADALAJARA","FARMS ABC",4,4
"ZAPOPAN ","ITALIANNI S GAL GDL",4,4
"ZAPOPAN ","TELECABLE",4,4
"ZAPOPAN ","CABLEVISION",4,4
"ZAPOPAN ","CABLEVISION",4,4
"BAHIA DE BAND","FARM GUADALAJARA",4,4
"ZAPOPAN ","LIVERPOOL",4,4
"TLAQUEPAQUE","GIGANTE",2,2
"ZAPOPAN ","CABLEVISION",4,4
"TLAQUEPAQUE","PSE6602015CA GAS",4,4
"PTO VALLARTA","REST EL ANDARIEGO",4,4
"TONALA","COSTCO GUADALAJARA",4,4
"ZAPOPAN ","STE970924PP4 GAS",4,4
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"GUADALAJARA","MEGA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN","SANBORNS",4,4
"ZAPOPAN ","SCRATCH DO OURO",4,4
"GUADALAJARA","WALMART",3,3
"GUADALAJARA","EL SURTIDOR TAPICERO",4,4
"MEXICO DF","TELMEX",4,4
"GUADALAJARA","CHAVITA",4,4
"GUADALAJARA","GIGANTE",2,2
"GUADALAJARA","GIGANTE",2,2
